iter	Passed	Remaining
0	141	141393
1	142	71032
2	143	47647
3	144	35871
4	144	28800
5	145	24112
6	146	20740
7	146	18222
8	147	16252
9	148	14682
10	148	13395
11	149	12322
12	150	11423
13	151	10647
14	151	9973
15	152	9378
16	153	8864
17	154	8412
18	155	8004
19	155	7639
20	156	7301
21	157	6994
22	158	6714
23	158	6451
24	159	6209
25	159	5987
26	160	5783
27	161	5592
28	161	5413
29	162	5248
30	162	5093
31	163	4947
32	164	4810
33	164	4680
34	165	4557
35	166	4446
36	166	4340
37	167	4235
38	167	4137
39	168	4043
40	169	3955
41	169	3870
42	170	3789
43	170	3712
44	171	3643
45	172	3575
46	172	3507
47	173	3442
48	174	3381
49	174	3321
50	175	3262
51	175	3207
52	176	3154
53	177	3106
54	178	3071
55	179	3024
56	180	2978
57	180	2933
58	181	2891
59	181	2849
60	182	2809
61	183	2770
62	183	2733
63	184	2695
64	184	2659
65	185	2624
66	186	2590
67	186	2554
68	186	2522
69	187	2491
70	188	2461
71	188	2435
72	189	2409
73	190	2382
74	190	2355
75	191	2330
76	192	2306
77	193	2282
78	193	2257
79	194	2233
80	194	2209
81	195	2189
82	196	2171
83	197	2150
84	197	2129
85	198	2111
86	199	2089
87	199	2070
88	200	2051
89	201	2032
90	201	2015
91	202	1996
92	202	1978
93	203	1961
94	204	1943
95	204	1927
96	205	1910
97	205	1894
98	206	1878
99	207	1863
100	207	1848
101	208	1832
102	208	1818
103	209	1804
104	210	1790
105	210	1777
106	211	1763
107	211	1750
108	212	1737
109	213	1724
110	213	1713
111	214	1701
112	215	1689
113	215	1677
114	216	1666
115	216	1653
116	217	1642
117	218	1631
118	218	1619
119	219	1608
120	219	1597
121	220	1587
122	220	1575
123	221	1565
124	222	1555
125	223	1547
126	223	1538
127	224	1527
128	224	1517
129	225	1508
130	225	1498
131	226	1489
132	227	1480
133	227	1471
134	228	1462
135	228	1453
136	229	1445
137	229	1435
138	230	1427
139	231	1419
140	231	1412
141	232	1406
142	233	1399
143	234	1391
144	234	1383
145	235	1376
146	236	1369
147	236	1362
148	237	1354
149	237	1347
150	238	1340
151	239	1334
152	239	1327
153	240	1321
154	241	1314
155	241	1308
156	242	1301
157	242	1294
158	243	1288
159	244	1282
160	244	1276
161	245	1270
162	246	1264
163	246	1258
164	247	1252
165	248	1245
166	248	1240
167	249	1234
168	250	1229
169	250	1224
170	251	1221
171	252	1215
172	253	1210
173	253	1204
174	254	1199
175	255	1193
176	255	1188
177	256	1182
178	256	1177
179	257	1173
180	257	1166
181	258	1162
182	259	1156
183	259	1151
184	260	1146
185	260	1141
186	261	1137
187	262	1132
188	262	1127
189	263	1122
190	264	1118
191	264	1113
192	265	1109
193	265	1104
194	266	1099
195	266	1094
196	267	1090
197	268	1085
198	268	1081
199	269	1077
200	270	1073
201	270	1069
202	271	1065
203	272	1061
204	272	1057
205	273	1052
206	273	1048
207	274	1044
208	274	1040
209	275	1036
210	276	1033
211	277	1032
212	278	1028
213	278	1024
214	279	1020
215	280	1016
216	280	1012
217	281	1009
218	281	1005
219	282	1001
220	283	998
221	283	994
222	284	990
223	284	987
224	285	983
225	286	980
226	286	976
227	287	973
228	287	969
229	288	966
230	289	963
231	290	961
232	291	959
233	292	956
234	292	953
235	293	950
236	294	946
237	294	943
238	295	940
239	296	937
240	296	934
241	297	931
242	297	927
243	298	924
244	299	921
245	299	918
246	300	915
247	300	912
248	301	909
249	302	907
250	303	904
251	303	901
252	304	898
253	305	896
254	305	893
255	306	890
256	307	887
257	307	885
258	308	883
259	309	881
260	310	878
261	310	875
262	311	873
263	312	870
264	312	867
265	313	864
266	314	862
267	315	860
268	315	858
269	316	855
270	316	852
271	317	850
272	318	847
273	319	845
274	319	843
275	320	841
276	321	839
277	322	836
278	322	834
279	323	831
280	323	828
281	324	826
282	325	823
283	325	821
284	326	818
285	327	816
286	327	814
287	328	812
288	329	809
289	329	807
290	330	805
291	331	802
292	331	800
293	332	798
294	333	796
295	334	796
296	335	794
297	336	791
298	336	789
299	337	787
300	337	784
301	338	782
302	339	780
303	340	778
304	340	776
305	341	774
306	342	772
307	342	769
308	343	767
309	343	765
310	344	763
311	345	761
312	345	759
313	346	757
314	347	754
315	347	752
316	348	750
317	348	748
318	349	746
319	350	743
320	350	741
321	351	739
322	352	738
323	352	736
324	353	734
325	354	732
326	354	729
327	355	728
328	355	725
329	356	723
330	357	721
331	358	720
332	358	719
333	359	717
334	360	715
335	360	713
336	361	711
337	362	709
338	363	708
339	364	706
340	364	704
341	365	702
342	366	701
343	366	699
344	367	697
345	367	695
346	368	693
347	368	691
348	369	689
349	370	687
350	371	686
351	371	684
