iter	Passed	Remaining
0	129	129116
1	129	64838
2	130	43373
3	131	32636
4	131	26212
5	132	21920
6	132	18847
7	133	16549
8	134	14756
9	134	13329
10	135	12162
11	135	11191
12	136	10369
13	137	9668
14	137	9054
15	138	8518
16	139	8046
17	139	7624
18	140	7252
19	141	6927
20	142	6626
21	142	6351
22	143	6104
23	144	5870
24	145	5659
25	145	5460
26	146	5279
27	147	5116
28	148	4960
29	148	4813
30	149	4676
31	150	4547
32	151	4426
33	151	4309
34	152	4203
35	153	4106
36	154	4011
37	155	3945
38	156	3861
39	157	3786
40	158	3716
41	159	3642
42	160	3568
43	160	3497
44	161	3430
45	162	3367
46	163	3306
47	163	3246
48	164	3190
49	165	3135
50	165	3081
51	166	3030
52	166	2981
53	167	2934
54	168	2890
55	168	2846
56	169	2807
57	170	2774
58	171	2742
59	172	2706
60	174	2687
61	175	2658
62	176	2626
63	177	2591
64	177	2558
65	178	2525
66	179	2493
67	179	2462
68	180	2432
69	180	2402
70	181	2373
71	182	2346
72	182	2319
73	183	2292
74	183	2267
75	184	2241
76	185	2217
77	185	2194
78	186	2171
79	186	2149
80	187	2129
81	188	2109
82	188	2085
83	189	2066
84	190	2047
85	190	2027
86	191	2008
87	191	1989
88	192	1971
89	193	1953
90	193	1936
91	194	1921
92	195	1905
93	195	1889
94	196	1873
95	197	1858
96	197	1843
97	198	1827
98	199	1812
99	199	1797
100	200	1784
101	201	1770
102	201	1756
103	202	1743
104	202	1730
105	203	1717
106	204	1705
107	204	1693
108	205	1680
109	206	1668
110	206	1656
111	207	1645
112	208	1635
113	209	1626
114	210	1618
115	211	1613
116	212	1602
117	213	1595
118	214	1586
119	215	1577
120	215	1567
121	216	1556
122	216	1546
123	217	1536
124	218	1527
125	218	1517
126	219	1509
127	220	1501
128	220	1492
129	221	1483
130	222	1474
131	223	1466
132	223	1458
133	224	1449
134	224	1440
135	225	1432
136	226	1424
137	226	1417
138	227	1408
139	228	1401
140	228	1393
141	229	1384
142	229	1376
143	230	1369
144	230	1361
145	231	1354
